Sl.No,Course Code,Course Name,AS,AA,AB,BB,BC,CC,CD,DD,FA,FD,FP,I,NP,PP,Grand Total,HoD,Hardcopy Received
1,BM 511H,Corporate Finance,0,1,1,3,8,6,4,0,0,0,0,0,0,0,23,Forwarded,No
2,BM 512H,Computer-aided Operations Research,0,4,4,3,6,2,3,0,0,0,0,0,0,0,22,Forwarded,No
3,BM 513H,Business Communication,0,2,6,11,6,1,0,0,0,0,0,0,0,0,26,Forwarded,No
4,BM 514H,Organization Structure and Design,0,4,4,8,4,4,1,0,0,0,0,0,0,0,25,Forwarded,No
5,BM 515H,Strategic Management,0,1,2,9,7,8,1,0,0,0,0,0,0,0,28,Forwarded,No
6,BM 516H,Business Analytics,0,1,9,8,7,3,0,0,0,0,0,0,0,0,28,Forwarded,Yes
7,BM 517H,Operations Management,0,3,0,4,8,4,2,1,0,0,0,0,0,0,22,Forwarded,Yes
8,BM 518H,E-Commerce and its Application,0,2,5,10,3,2,0,0,0,0,0,0,0,0,22,Forwarded,Yes
9,BM 519H,Legal Aspects of Business,0,3,7,9,6,2,0,0,0,0,0,0,0,0,27,Forwarded,Yes
10,BM 520H,Cross-Cultural Management,1,1,2,7,8,4,2,0,0,0,0,0,0,0,25,Forwarded,Yes
11,BM 530H,Project Work-II,0,2,3,6,2,3,0,0,0,0,0,0,0,0,16,Forwarded,No
12,BM 534H,Project work - III,0,2,5,6,1,2,0,0,0,0,0,0,0,0,16,Forwarded,No
13,BM 602H,Financial Risk Management,0,0,0,2,1,6,2,3,0,0,3,0,3,20,40,Forwarded,No
14,BM 607H,"Money, Banking and Financial Markets",0,2,8,3,4,0,0,0,0,0,0,0,0,0,17,Forwarded,Yes
15,BM 650H,Sales and Distribution Management,0,1,5,6,4,3,0,0,0,0,0,0,0,0,19,Forwarded,No
16,BM 668H,Materials Management,0,1,3,9,2,1,0,0,0,0,0,0,0,0,16,Forwarded,No
17,BT 101,Introductory Biology,0,43,142,219,215,133,103,50,0,1,51,1,0,0,958,Forwarded,Yes
18,BT 206,Microbiology,0,4,8,21,26,2,7,8,1,1,3,0,0,0,81,Forwarded,Yes
19,BT 207,Genetic Engineering,2,3,4,4,10,11,16,21,0,0,10,0,0,0,81,Forwarded,Yes
20,BT 208,Transport Phenomenon in Bioprocesses,0,10,19,23,10,7,10,1,0,1,0,0,0,0,81,Forwarded,Yes
21,BT 209,Bioreaction Engineering,0,15,17,12,7,9,7,16,0,0,0,0,0,0,83,Forwarded,Yes
22,BT 211,Basic Biotechnology Lab,0,8,46,25,2,0,0,0,0,0,0,0,0,0,81,Forwarded,Yes
23,BT 302M,Bioprocess Technology,0,1,1,1,1,0,0,0,0,0,0,0,0,0,4,Forwarded,Yes
24,BT 305,Computational Biology,4,15,7,10,10,6,4,17,1,0,0,0,1,0,75,Forwarded,Yes
25,BT 306,Bioseparation Engineering,0,7,10,13,13,12,11,3,0,0,2,0,0,0,71,Forwarded,Yes
26,BT 307,Biological Data Analysis,0,2,10,17,14,6,7,13,0,0,3,0,0,0,72,Forwarded,Yes
27,BT 308,Bioengineering,0,3,0,13,12,21,12,9,0,1,2,0,0,0,73,Forwarded,Yes
28,BT 402,BTech Project-II,2,15,11,14,12,2,2,3,0,0,0,0,0,0,61,Forwarded,Yes
29,BT 502,Quantitative Biology,0,3,3,13,8,7,6,4,0,0,0,0,0,1,45,Forwarded,Yes
30,BT 504,Biomolecular and Cellular Process Engineering,0,16,7,4,11,2,2,0,0,0,0,0,0,0,42,Forwarded,Yes
31,BT 520,Applied Biology and Bioengineering Lab,0,19,21,0,0,0,0,0,0,0,0,0,0,0,40,Forwarded,Yes
32,BT 522,Advanced Bioengineering,0,3,3,0,3,0,0,0,0,0,0,0,0,0,9,Forwarded,Yes
33,BT 523,Metabolic Engineering,1,8,2,0,0,0,0,0,0,0,0,0,0,0,11,Forwarded,Yes
34,BT 524,Bioinstrumentation & Control,0,1,1,2,1,1,3,0,0,0,0,0,0,0,9,Forwarded,Yes
35,BT 540,Applied Bioengineering Lab,0,3,2,4,0,0,0,0,0,0,0,0,0,0,9,Forwarded,Yes
36,BT 601,Analytical Biotechnology,0,15,10,10,7,2,2,0,0,0,2,0,0,0,48,Forwarded,Yes
37,BT 607,Plant Biotechnology,5,8,11,9,14,8,8,2,0,0,0,0,0,0,65,Forwarded,Yes
38,BT 608,Microbial Biotechnology,0,14,13,14,10,10,0,0,0,0,0,0,0,0,61,Forwarded,Yes
39,BT 616n,General Virology,0,4,7,2,7,3,0,3,0,0,1,0,0,0,27,Forwarded,Yes
40,BT 617,Proteomics: Methods & Applications,0,3,3,3,1,0,0,0,0,0,0,0,0,0,10,Forwarded,Yes
41,BT 619,Essentials of Genetics,0,6,14,6,1,0,0,0,0,0,0,0,0,0,27,Forwarded,Yes
